uf,ano,mes,chuva_mm,temp_c,media_chuva_mm,media_temp_c,anomalia_chuva,anomalia_temp,ipca_acum_ano,ipca_var_mensal
ES,2022,9,882.8000000000001,21.131554387641344,810.08,22.91611336619357,72.72000000000003,-1.7845589785522264,9.46,-0.19
ES,2022,10,2226.8,23.819091602647003,3071.6800000000003,23.814136604835355,-844.8800000000001,0.004954997811648099,10.52,0.96
ES,2022,11,7392.8,22.54782918232289,3824.6400000000003,23.763306788465755,3568.16,-1.2154776061428656,11.29,0.7
ES,2022,12,9240.8,23.630405259504986,4842.719999999999,25.05094351374943,4398.08,-1.4205382542444447,12.15,0.77
ES,2023,1,5811.6,24.790921088514885,4379.68,25.426504495001303,1431.92,-0.6355834064864183,1.05,1.05
ES,2023,2,990.0,26.009631666319358,3739.6,25.459932593703623,-2749.6,0.5496990726157343,0.91,-0.14
ES,2023,3,1566.4,25.452448574100046,2631.12,25.5447080698475,-1064.7199999999998,-0.09225949574745229,0.45,-0.46
ES,2023,4,2519.2,23.804496550651443,1282.6399999999999,24.069755380146,1236.56,-0.2652588294945559,0.89,0.44
ES,2023,5,1421.6,21.439662889413064,848.8,22.515301238769304,572.8,-1.0756383493562396,1.46,0.56
ES,2023,6,429.2,20.562652279785432,498.08000000000004,21.184171540033933,-68.88000000000005,-0.6215192602485011,0.74,-0.71
ES,2023,7,1960.0,20.2601551542777,755.76,20.86886054878049,1204.24,-0.6087053945027883,0.11,-0.62
ES,2023,8,2938.0,21.59119623655914,1163.04,21.306052733907645,1774.96,0.28514350265149346,-1.2,-1.31
ES,2023,9,947.2,22.851204527155616,810.08,22.91611336619357,137.12,-0.06490883903795464,-1.69,-0.49
ES,2023,10,1474.8,24.361945743341803,3071.6800000000003,23.814136604835355,-1596.8800000000003,0.5478091385064481,-1.59,0.1
ES,2023,11,1118.4,25.860747056584835,3824.6400000000003,23.763306788465755,-2706.2400000000002,2.0974402681190796,-1.1,0.5
ES,2023,12,2229.2,26.5862498283603,4842.719999999999,25.05094351374943,-2613.5199999999995,1.535306314610871,0.04,1.16
ES,2024,1,5536.8,25.752539387817265,4379.68,25.426504495001303,1157.12,0.32603489281596154,1.98,1.98
ES,2024,2,4484.4,25.680816422596784,3739.6,25.459932593703623,744.7999999999997,0.22088382889316094,2.77,0.77
ES,2024,3,3240.8,26.608057101860556,2631.12,25.5447080698475,609.6800000000003,1.0633490320130576,3.01,0.24
ES,2024,4,1068.4,24.663733275162734,1282.6399999999999,24.069755380146,-214.23999999999978,0.5939778950167351,3.35,0.33
ES,2024,5,536.0,24.38983626439054,848.8,22.515301238769304,-312.79999999999995,1.8745350256212348,4.23,0.85
ES,2024,6,243.20000000000002,22.359194780219344,498.08000000000004,21.184171540033933,-254.88000000000002,1.1750232401854106,6.07,1.76
ES,2024,7,236.4,21.91189404871223,755.76,20.86886054878049,-519.36,1.0430334999317417,4.0,-1.95
ES,2024,8,800.4,21.55591285899451,1163.04,21.306052733907645,-362.64,0.24986012508686528,3.02,-0.94
ES,2024,9,558.4,23.428218063538715,810.08,22.91611336619357,-251.68000000000006,0.5121046973451442,3.54,0.5
ES,2024,10,4337.6,23.73450202156812,3071.6800000000003,23.814136604835355,1265.92,-0.07963458326723583,4.07,0.52
ES,2024,11,4705.6,23.838088918428593,3824.6400000000003,23.763306788465755,880.96,0.07478212996283773,5.37,1.25
ES,2024,12,4534.4,25.36276706957425,4842.719999999999,25.05094351374943,-308.3199999999997,0.31182355582481946,7.09,1.63
GO,2020,1,13608.4,24.992134279684226,10624.32,24.402839275779563,2984.08,0.5892950039046632,0.39,0.39
GO,2020,2,14292.4,24.492486810330554,10017.84,24.376244442179086,4274.5599999999995,0.11624236815146816,0.5,0.11
GO,2020,3,9196.4,24.577351061821542,7322.32,24.57025103961879,1874.08,0.007100022202752854,1.63,1.13
GO,2020,4,5354.8,24.027495673464507,3852.4800000000005,24.285363272234434,1502.3199999999997,-0.25786759876992704,3.45,1.79
GO,2020,5,1026.4,21.785999311344106,422.32,22.644647455467993,604.0800000000002,-0.8586481441238867,3.7,0.24
GO,2020,6,32.4,22.29127888665666,161.84,22.10189521943318,-129.44,0.18938366722347766,4.09,0.38
GO,2020,7,0.0,22.363552287603245,11.760000000000002,22.222076166027318,-11.760000000000002,0.14147612157592704,4.1,0.01
GO,2020,8,3.2,23.81633572464837,161.2,24.11317413066228,-158.0,-0.29683840601391154,4.91,0.78
GO,2020,9,549.2,27.30303952322196,832.8,27.297381604951234,-283.5999999999999,0.005657918270724593,7.3,2.28
GO,2020,10,5424.8,27.20500829831595,5159.2,26.513963644015593,265.60000000000036,0.6910446543003559,9.37,1.93
GO,2020,11,4573.2,25.491570667964215,8138.88,24.907443272342885,-3565.6800000000003,0.58412739562133,12.14,2.54
GO,2020,12,8047.6,25.429438133382753,9874.24,24.75611746491093,-1826.6399999999994,0.673320668471824,14.09,1.74
GO,2021,1,6606.0,25.031613737371465,10624.32,24.402839275779563,-4018.3199999999997,0.6287744615919024,1.02,1.02
GO,2021,2,11631.6,24.063299962791216,10017.84,24.376244442179086,1613.7600000000002,-0.31294447938786973,1.3,0.27
GO,2021,3,4423.2,24.544402498295426,7322.32,24.57025103961879,-2899.12,-0.025848541323362895,1.43,0.13
GO,2021,4,3047.6,24.21436959888882,3852.4800000000005,24.285363272234434,-804.8800000000006,-0.07099367334561535,1.83,0.4
GO,2021,5,321.2,23.612937230117417,422.32,22.644647455467993,-101.12,0.9682897746494241,2.28,0.44
GO,2021,6,286.8,22.536479691538588,161.84,22.10189521943318,124.96000000000001,0.4345844721054064,2.72,0.43
GO,2021,7,0.0,21.771207584684518,11.760000000000002,22.222076166027318,-11.760000000000002,-0.4508685813427995,3.34,0.6
GO,2021,8,38.0,24.87380447099383,161.2,24.11317413066228,-123.19999999999999,0.7606303403315486,4.77,1.39
GO,2021,9,897.2,28.327124418914394,832.8,27.297381604951234,64.40000000000009,1.0297428139631606,5.84,1.02
GO,2021,10,7194.8,26.047802273742946,5159.2,26.513963644015593,2035.6000000000004,-0.4661613702726477,7.08,1.17
GO,2021,11,13164.8,24.129025603932043,8138.88,24.907443272342885,5025.919999999999,-0.7784176684108424,7.04,-0.04
GO,2021,12,13810.8,24.022137958813847,9874.24,24.75611746491093,3936.5599999999995,-0.7339795060970822,7.94,0.84
GO,2022,1,12522.0,23.841386721148574,10624.32,24.402839275779563,1897.6800000000003,-0.5614525546309892,1.11,1.11
GO,2022,2,10452.0,23.938365782705727,10017.84,24.376244442179086,434.15999999999985,-0.437878659473359,2.41,1.28
GO,2022,3,7226.4,24.57230074765972,7322.32,24.57025103961879,-95.92000000000007,0.0020497080409320745,4.89,2.42
GO,2022,4,2503.6,24.48448223420363,3852.4800000000005,24.285363272234434,-1348.8800000000006,0.19911896196919443,7.05,2.06
GO,2022,5,566.4,21.46156251745394,422.32,22.644647455467993,144.07999999999998,-1.1830849380140513,7.56,0.48
GO,2022,6,255.6,21.72856018205269,161.84,22.10189521943318,93.75999999999999,-0.37333503738049245,8.42,0.8
GO,2022,7,14.4,22.15654723397102,11.760000000000002,22.222076166027318,2.639999999999999,-0.06552893205629928,9.83,1.3
GO,2022,8,91.2,23.652123878828494,161.2,24.11317413066228,-69.99999999999999,-0.461050251833786,10.1,0.24
GO,2022,9,1631.6,25.71929225780659,832.8,27.297381604951234,798.8,-1.578089347144644,9.54,-0.51
GO,2022,10,3757.2,25.62092869987115,5159.2,26.513963644015593,-1402.0,-0.8930349441444427,10.32,0.72
GO,2022,11,6483.2,23.83320890435071,8138.88,24.907443272342885,-1655.6800000000003,-1.074234367992176,10.91,0.53
GO,2022,12,10805.2,23.64697030108315,9874.24,24.75611746491093,930.960000000001,-1.1091471638277781,11.64,0.66
GO,2023,1,11576.4,23.295520430055983,10624.32,24.402839275779563,952.0799999999999,-1.1073188457235794,0.59,0.59
GO,2023,2,6327.6,24.658107642544103,10017.84,24.376244442179086,-3690.24,0.28186320036501655,0.76,0.16
GO,2023,3,6730.4,23.90259127843851,7322.32,24.57025103961879,-591.9200000000001,-0.6676597611802784,0.81,0.05
GO,2023,4,4115.6,23.6561772057619,3852.4800000000005,24.285363272234434,263.1199999999999,-0.6291860664725348,1.53,0.71
GO,2023,5,185.2,22.592139470534494,422.32,22.644647455467993,-237.12,-0.05250798493349862,1.69,0.16
GO,2023,6,234.4,21.69037667212345,161.84,22.10189521943318,72.56,-0.4115185473097327,1.02,-0.66
GO,2023,7,44.400000000000006,22.66966158805407,11.760000000000002,22.222076166027318,32.64,0.44758542202675144,0.55,-0.46
GO,2023,8,673.6,24.664730277854076,161.2,24.11317413066228,512.4000000000001,0.5515561471917962,-0.31,-0.85
GO,2023,9,1000.4,27.390488536662165,832.8,27.297381604951234,167.60000000000002,0.0931069317109312,-1.02,-0.71
