uf,ano,mes,chuva_mm,temp_c,media_chuva_mm,media_temp_c,anomalia_chuva,anomalia_temp
AM,2020,7,1036.8,27.677072837933995,1559.52,27.391906480990873,-522.72,0.2851663569431224
AM,2020,8,740.4,28.179295450221712,1380.6399999999999,28.010750924101483,-640.2399999999999,0.16854452612022897
AM,2020,9,1299.2,28.70865639768195,1651.1200000000001,28.558420234977156,-351.9200000000001,0.15023616270479323
AM,2020,10,1216.0,27.90384975608617,2588.0,28.197737692460727,-1372.0,-0.29388793637455635
AM,2020,11,2178.8,27.875682151618616,2751.28,27.590689292535963,-572.48,0.2849928590826529
AM,2020,12,2758.8,27.019295887020427,5545.84,26.82162235356599,-2787.04,0.19767353345443794
AM,2021,1,2807.2,26.22375506362599,5073.039999999999,26.549837199707174,-2265.8399999999992,-0.3260821360811832
AM,2021,2,1993.6000000000001,26.876609382314662,4936.0,26.67260357693675,-2942.3999999999996,0.20400580537791058
AM,2021,3,2746.0,26.371453285804133,5174.4,26.649201719701388,-2428.3999999999996,-0.2777484338972549
AM,2021,4,1915.6,26.9578487689079,5189.04,26.756652144723695,-3273.44,0.20119662418420603
AM,2021,5,1198.8,27.156813298075093,4231.92,26.87015718101255,-3033.12,0.2866561170625417
AM,2021,6,728.0,27.309620399707356,2530.4,26.857362662532502,-1802.4,0.45225773717485396
AM,2021,7,734.0,27.613327294685988,1559.52,27.391906480990873,-825.52,0.22142081369511502
AM,2021,8,744.0,28.80486851136851,1380.6399999999999,28.010750924101483,-636.6399999999999,0.7941175872670279
AM,2021,9,798.0,28.11881166559577,1651.1200000000001,28.558420234977156,-853.1200000000001,-0.4396085693813845
AM,2021,10,1595.2,28.19457797483588,2588.0,28.197737692460727,-992.8,-0.0031597176248467918
AM,2021,11,1586.0,27.1883116928145,2751.28,27.590689292535963,-1165.2800000000002,-0.40237759972146137
AM,2021,12,2554.8,26.777552658999763,5545.84,26.82162235356599,-2991.04,-0.04406969456622534
AM,2022,1,1802.8,26.768735039985295,5073.039999999999,26.549837199707174,-3270.239999999999,0.21889784027812098
AM,2022,2,2237.2,26.211863341233347,4936.0,26.67260357693675,-2698.8,-0.4607402357034047
AM,2022,3,2440.0,26.18943833013695,5174.4,26.649201719701388,-2734.3999999999996,-0.4597633895644364
AM,2022,4,4422.0,26.60039067514374,5189.04,26.756652144723695,-767.04,-0.156261469579956
AM,2022,5,3208.4,26.80626538610449,4231.92,26.87015718101255,-1023.52,-0.06389179490806285
AM,2022,6,3938.0,26.163690149847394,2530.4,26.857362662532502,1407.6,-0.693672512685108
AM,2022,7,2329.6,26.973488674014952,1559.52,27.391906480990873,770.0799999999999,-0.41841780697592057
AM,2022,8,2690.4,26.878231457876517,1380.6399999999999,28.010750924101483,1309.7600000000002,-1.1325194662249665
AM,2022,9,2034.8,27.781818911972586,1651.1200000000001,28.558420234977156,383.67999999999984,-0.7766013230045701
AM,2022,10,5753.2,27.048251990739203,2588.0,28.197737692460727,3165.2,-1.1494857017215239
AM,2022,11,4529.6,26.610464902783743,2751.28,27.590689292535963,1778.3200000000002,-0.9802243897522196
AM,2022,12,9242.0,26.14852155707719,5545.84,26.82162235356599,3696.16,-0.6731007964888001
