uf,ano,cultura,chuva_mm_safra,temp_c_safra,anomalia_chuva_safra,anomalia_temp_safra,qtd_t,area_plantada_ha,area_colhida_ha,rendimento_kg_ha,ipca_var_mensal,ipca_acum_ano
MA,2020,Milho (em grão),29945.600000000002,26.56682339603217,1077.0742857142855,-0.14950974272717485,2177432.0,455590.0,455590.0,4779.0,1.74,14.09
MA,2021,Milho (em grão),12872.4,27.257385588652753,-1278.0654545454547,-0.07307618839781876,2267556.0,483152.0,483152.0,4693.0,0.84,7.94
MA,2022,Milho (em grão),16564.0,27.70095209722574,-942.4654545454545,0.3704903201751645,2278917.0,514675.0,514675.0,4428.0,0.66,11.64
MA,2023,Milho (em grão),35411.2,26.861513474316084,770.9163636363636,-0.4689483027344966,2487084.0,535302.0,535302.0,4646.0,1.11,1.03
MA,2024,Milho (em grão),36306.0,27.55348782742884,852.261818181818,0.22302605037826045,2384065.0,496073.0,496073.0,4806.0,1.18,7.69
MG,2020,Milho (em grão),114105.99999999999,21.345028099366495,4409.234285714285,-0.3882572640103855,7689309.0,1139726.0,1119388.0,6869.0,2.23,16.32
MG,2021,Milho (em grão),122886.00000000001,22.28844124668974,-2654.2836363636366,-0.17627523902081002,6788836.0,1193535.0,1155546.0,5875.0,1.07,6.72
MG,2022,Milho (em grão),157547.2,22.197391837216177,496.73454545454496,-0.26732464849437415,7847614.0,1314591.0,1305405.0,6012.0,1.25,13.55
MG,2023,Milho (em grão),163957.19999999998,21.95380114657319,1079.4618181818175,-0.5109153391373599,8296982.0,1228588.0,1228338.0,6755.0,1.89,0.72
MG,2024,Milho (em grão),127892.0,23.570015305797742,-2199.1927272727276,1.105298820087189,6599875.0,1115757.0,1092993.0,6038.0,0.81,8.09
MS,2020,Milho (em grão),33868.0,23.40323089013516,1203.382857142857,-0.39777084228583093,10696608.0,1973409.0,1972979.0,5422.0,1.74,14.09
MS,2021,Milho (em grão),33150.399999999994,24.45662569682924,-950.3636363636364,-0.2545026501184234,5418082.0,2150745.0,1957745.0,2768.0,0.84,7.94
MS,2022,Milho (em grão),15330.8,25.407194120845926,-2570.327272727273,0.6960657738982651,12870873.0,2386159.0,2379009.0,5410.0,0.66,11.64
MS,2023,Milho (em grão),61876.4,23.564345212737713,1661.0909090909095,-1.14678313420995,13443031.0,2395909.0,2395854.0,5611.0,1.11,1.03
MS,2024,Milho (em grão),49859.600000000006,25.58232493122429,568.6545454545453,0.8711965842766269,7881086.0,2216501.0,2195532.0,3590.0,1.18,7.69
MT,2020,Milho (em grão),47358.399999999994,25.260789531272476,2179.874285714285,0.2770243149810681,33650671.0,5318762.0,5318762.0,6327.0,1.74,14.09
MT,2021,Milho (em grão),27865.6,25.85863050096938,-2043.4254545454546,0.11492944832636164,32051305.0,5808096.0,5808096.0,5518.0,0.84,7.94
MT,2022,Milho (em grão),9869.999999999998,25.65631378831085,-3679.389090909091,-0.08738726433216665,38331222.0,6416967.0,6414777.0,5975.0,0.66,11.64
MT,2023,Milho (em grão),84072.79999999999,24.922380684300983,3066.32,-0.821320368342036,50241972.0,7429526.0,7429526.0,6762.0,1.11,1.03
MT,2024,Milho (em grão),64167.2,26.286694718978428,1256.72,0.5429936663354114,47414131.0,7078785.0,7078685.0,6698.0,1.18,7.69
PA,2020,Milho (em grão),80605.2,26.19326601768841,3495.051428571428,-0.08631722804192725,893065.0,320749.0,320749.0,2784.0,2.53,15.77
PA,2021,Milho (em grão),62168.4,26.62167740164242,-757.469090909091,-0.16792628045922697,1122835.0,362071.0,362071.0,3101.0,0.19,3.87
PA,2022,Milho (em grão),53670.40000000001,26.437117589572548,-1530.0145454545457,-0.3524860925291025,1240534.0,405590.0,405590.0,3059.0,0.61,11.05
PA,2023,Milho (em grão),60100.00000000001,26.648566388544666,-945.505454545455,-0.14103729355698552,1739135.0,485255.0,485253.0,3584.0,0.63,-0.14
PA,2024,Milho (em grão),81418.4,27.351676824224956,992.5309090909087,0.5620731421233093,1759249.0,477962.0,477562.0,3684.0,1.77,7.93
PR,2020,Milho (em grão),28685.999999999996,20.201601111200393,210.0457142857145,-0.09889402951962925,15809775.0,2696231.0,2695831.0,5865.0,1.63,13.04
PR,2021,Milho (em grão),30444.0,20.300839470119968,-1770.3999999999999,-0.5512240476488696,10528860.0,2856885.0,2751186.0,3827.0,0.28,8.95
PR,2022,Milho (em grão),30531.2,21.06490452262923,-1762.472727272727,0.21284100486038907,15604352.0,3073180.0,3049891.0,5116.0,0.47,11.44
PR,2023,Milho (em grão),63999.6,20.060366639512264,1280.1090909090906,-0.79169687825657,17884646.0,2803150.0,2803150.0,6380.0,0.92,0.97
PR,2024,Milho (em grão),66178.0,21.836431281556305,1478.1454545454544,0.9843677637874709,15514499.0,2827906.0,2824772.0,5492.0,0.56,7.21
RS,2020,Milho (em grão),66258.8,18.698305211757962,-1448.4914285714287,-0.014735101288770838,4210008.0,751573.0,741685.0,5676.0,2.6,14.38
RS,2021,Milho (em grão),90308.00000000001,18.576052449129477,-2913.883636363637,-0.44282594584081525,4389617.0,780142.0,776082.0,5656.0,0.42,6.63
RS,2022,Milho (em grão),104158.8,18.947088333529265,-1654.7199999999998,-0.07179006144102877,3001701.0,784000.0,774141.0,3877.0,-0.46,12.61
RS,2023,Milho (em grão),93670.0,19.16226248543661,-2608.247272727273,0.14338409046631834,3960494.0,822596.0,815765.0,4855.0,0.58,-0.05
RS,2024,Milho (em grão),210255.59999999998,19.233009456415466,7990.443636363638,0.21413106144517305,4505668.0,808916.0,798800.0,5641.0,0.62,3.83
